"bug_id","opendate","bug_severity","prod.","short_desc"
4993,2000-01-06,"major","vte","gnome-terminal fails many vttest terminal emulation test"
13299,2000-06-06,"minor","gt","gnome-terminal: Bad Shift + Right Button behavior in mc"
31316,2000-11-09,"enhancement","vte","[PATCH] Meta functionality would be nice"
52319,2001-03-20,"normal","vte","vte log pid of terminal in utmp, instead of pid of the process inside"
73273,2002-03-03,"enhancement","gt","Request for configurable ""no more output"" notifier in profterm"
75420,2002-03-19,"enhancement","gt","tab position setting?"
78291,2002-04-10,"normal","gt","selection through keyboard not possible"
78776,2002-04-15,"enhancement","gt","Show tabs even when only 1 exists"
78777,2002-04-15,"enhancement","gt","add default number of tabs to the profile editor"
79276,2002-04-19,"enhancement","vte","Add file upload/download features"
81560,2002-05-12,"enhancement","gt","Terminals do not inherit file descriptors"
82200,2002-05-18,"enhancement","gt","Ship an ""su root"" profile by default"
83203,2002-05-27,"enhancement","gt","Command-line option to make factory open a tab in last-used existing window"
83265,2002-05-28,"enhancement","gt","Show screen number in tab title"
83698,2002-05-31,"minor","gt","Terminals sizes diminish when gtk themes are changed"
85821,2002-06-18,"enhancement","gt","Preference for changing cursor color"
86492,2002-06-26,"minor","gt","warn the user when setting an invalid/non-image file as background image file"
87119,2002-07-02,"enhancement","gt","Add a way to configure keybindings to open a new tab/window with a given profile"
87991,2002-07-12,"enhancement","gt","Hidden menu should be shown on F10"
89672,2002-08-02,"enhancement","gt","would like a way to limit scroll speed"
90020,2002-08-06,"enhancement","gt","Allow new profile based on system defaults"
94440,2002-09-29,"enhancement","gt","gnome-terminal needs a global prefs dialog"
95352,2002-10-09,"enhancement","gt","edit => Current profile should be preferences"
102783,2003-01-07,"normal","gt","Choose smaller default size on small screens"
103770,2003-01-17,"normal","vte","Model/view split"
104968,2003-02-01,"enhancement","vte","color underline mode"
108711,2003-03-18,"enhancement","gt","Encoding might be part of the profile"
109024,2003-03-23,"minor","vte","Ctrl+KP_Add doesn't work as hotkey"
109771,2003-04-02,"enhancement","gt","gnome-terminal should provide a console option"
110608,2003-04-12,"enhancement","vte","triple-click options desirable"
112172,2003-05-03,"minor","vte","Get rid of VteReaper"
115750,2003-06-22,"normal","gt","TERM environment variable could be better"
116147,2003-06-27,"enhancement","gt","Option to turn off terminal resizing"
119633,2003-08-11,"normal","vte","Cannot send NUL character"
120301,2003-08-20,"normal","gt","zooming with multiple tabs"
121800,2003-09-09,"enhancement","gt","Need a configuration setting for $TERM"
122413,2003-09-16,"enhancement","gt","highlight color selection preference"
126081,2003-11-03,"minor","gt","restore the icon option from profile"
128232,2003-11-30,"enhancement","gt","Option to choose profile at startup"
132173,2004-01-22,"enhancement","gt","[RFE]: Notify text changes on non-active tabs"
132918,2004-01-29,"enhancement","vte","gnome-terminal does not support vtprint in its vt100 terminal emulation"
135080,2004-02-21,"normal","gt","gnome-terminal disable all menu access keys does not disable alt-#"
138020,2004-03-24,"enhancement","gt","Terminal with button for new tabs."
143594,2004-06-02,"trivial","gt","Remove extraneous text from Editing Profile dialog"
143649,2004-06-03,"enhancement","vte","RFE: Function Key translations do not appear to work in gnome"
148168,2004-07-22,"enhancement","gt","Option to scale background image to fit the window"
